date,podnik,polievka,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2019-10-21,Milton,Krem z bielej fazule dochuteny vinnym octom a bazalkou,Pecene kuracie stehno na bylinkach a bielom vine,Na pare pripravovane buchty plnene nutellou,Kukuricne penne bezlepkove v kremovej omacke Quattro formaggi,Medajlonky z bravcovej panenky v opasku zo slaninky
2019-10-21,Prazsky pub,Gulasova polievka,Bravcove maso na znojemsky sposob s tarhonou,Zapekane kuracie prsia so sunkou a syrom so stuchanymi zemiakmi,Penne s paradajkovou omackou olivami a rucolou,Salat z cinskej kapusty s mozzarellou a krutonmi
2019-10-21,Red Cafe,Francuzska s cestovinou polievka,Kuraci steak volske oko batatove hranolky,Kapustne strapacky,Polievka pizza z ponuky,
2019-10-21,Suvlaki,Kapustova polievka,Grilovany bravcovy steak tzatziki dip,Zapecene cestoviny s mletym masom hraskom kukuricou a syrom,Dusene morcacie maso s baklazanom paradajkova omacka,Zapecena fazula gigantes so spenatom a syrom Feta
2019-10-21,Svadby a Kari,Kremova cviklova polievka s kokosovym mliekom,Perzske kuracie Rogan Josh kari s karfiolom tekvicou a hraskom chilli pesto zo susenych paradajok a kesu v prilohe,Indicky VEGAN Dhal s jablkami marinovany sladko kysly kapustovy salat v kari,,
2019-10-21,U Hasica,Kapustova,Kuracie gyros ryza salat dresing,Bravcove na hubach kolienka,Jahodove gulky s cokoladou,
2019-10-21,U Majky,Hrachova,Bravcove bratislavske pliecko,Kuraci rezen plneny encianom,Hlivovy perkelt,
2019-10-21,Veda,Soup zelenionova kremova,Cuketa a biela fazula indickej omacke,Zemiaky a karfiol indickej omacke,Farebna fazula a baklazan s drvenym indickym korenim,Miesana zelenina v omacke s kokosovym mliekom a thajskym zelenym kari
2019-10-21,Veglife,Karfiolova kremova,Ananasove kari s tofu a kokosovym mliekom,Tagliatelle v smotanovo spenatovej omacke s parmezanom,Mrkvovo syrove karbonatky zemiakove pyre s maslom,Hliva na cervenom vine pecene zemiaky
2019-10-22,Alzbetka,Drzkova,Zemiakova na kyslo,Hovadzie sote na lesnych hriboch slovenska ryza kysle uhorky,Vyprazany eidam so sunkou varene zemiaky s maslom a vnatkou tatarska omacka,Fit kuraci steak s rucolovo olivovym pestom pecena zelenina
2019-10-22,Bioland,Kapustova so zeleninou,Quinoovo fazulove fasirky s kurkumovou omackou a salatom,Pohankovo zeleninove rizoto s pecenym tofu a salatom,Tiramisu s ovocim,
2019-10-22,Bistro Mnamka,Sosovicova na kyslo,Gnocchi quattro formaggi s kuracim masom parmezan,Pecene bravcove rebierka kari ryza kapustova cvikla na mede,Salat s grilovanym encianom brusnice pizza chieb,Domace parene buchty s cokoladou a kokosom
2019-10-22,BlueBear,Kolumbijska zeleninova polievka,Pecene bravcove maso s kapustou a kysnutou knedlou,Telacie rezanceky s hraskom a zeleninovou basmati ryzou kapustovy salat,Bulgur s grilovanou zeleninou susenymi paradajkami a repovymi listami,TYZDENNE Pecena bravcova panenka s maslovymi sampinonmi bylinkami salotkou a restovanou polentou
2019-10-22,Centr klub,Zeleninova s mrveniciou,Vyprazany syr hranolky tatarska omacka,Peceny bocik na ciernom pive stuchane zemiaky calamada,Kuracie kari s cervenou sosovicou a jasminovou ryzou,
2019-10-22,Ceska piv,Minestrone polievka,Vyprazany syr s varenymi zemiakmi tatarska omacka,Kuraci gyros s tzatziky hranolky ryza,Fitness salat,XXL Vyprazany bravcovy rezen s varenymi zemiakmi a kyslou uhorkou
2019-10-22,Dilema,Zeleninova so sosovicou a mrvenickou,Smotanove kuracie sote s brokolicou a kukuricou dusena ryza valerian,Pecena krkovicka s jalapenos a salotkou rozmarinove zemiaky kapustovy salat,Cestoviny penne pomodoro s olivami a cerstvou bazalkou struhany parmezan,Grilovany steak z lososa s bylinkovym maslo na spenatovych zemiakoch
2019-10-22,Jedla lenka,Hovadzia polievka s masom a cestovinou,Karfiolova polievka,Svieckova na smotane parena knedla,Hovadzi znojemsky gulas ryza,Medailoniky z brav panenky s dubakovou om americke zemiaky
2019-10-22,Kasa,Pastrnakova polievka,Cviklova kofta mrkvova pena,Bravcove licka s farebnym korenim,,
2019-10-22,Mestiansky piv,Gulasova so zemiakmi,Hovadzi stroganov dusena ryza,Grilovany encian varene zemiaky brusnicova omacka,,
2019-10-22,Milton,Morcaci vyvar maso korenova zelenina a nitovky,Spanielsky vtacik plnene platky z hovadzieho zadneho stehna,Grilovana morska ryba,Sortiment podla ponuky,Sous vide jahnacieho hrebienka zapeceny do listkoveho cesta
2019-10-22,Prazsky pub,Paradajkova polievka s quinoou,Segedinsky gulas s domacou parenou knedlou,Vyprazany kuraci rezen so zemiakovou kasou a uhorkovym salatom,Tagliatelle s hubovym ragu a parmezanom,Zeleninovy salat s vajickom a avokadom
2019-10-22,Red Cafe,Brokolicovy krem polievka,Pecene kuracie stehno so slaninkou tarhona,Zemiakovy privarok fasirka,Polievka pizza z ponuky,
2019-10-22,RTVS,Karfiolova so zeleninou,Francuzske zemiaky,Znojemsky bravcovy platok tarhona,Bryndzove halusky so slaninkou,Vyprazany syr so sunkou mastene zemiaky
2019-10-22,Suvlaki,Fazulova polievka,Grilovane SARDINKY so salatom,MELITZANES PAPUTSAKIA zapeceny baklazan plneny mletym masom besamel omacka,Dusena bravcova pecienka so slaninkou cervenou cibulkou vinova omacka,Pecene kura s rozmarinom horcicova omacka
2019-10-22,Svadby a Kari,Kremova VEGE hubova polievka s tymianom,Thajske hovadzie Panang kari v arasidovej omacke s cuketou paradajkami mrkvou paprikami a kukuricou uhorkovo paradajkovy salat s oreganom v kari,Indicka VEGAN mandlova Korma s batatmi brokolicou a tekvicou catni z lesneho ovocia v kari,,
2019-10-22,U Hasica,Kafiolova kremova,Kuracie chilli con carne ryza,Segedinsky gulas knedla,Zemlovka tvaroh jablko,
2019-10-22,U Majky,Fazulova s parkom,Pecena kuracia stvrtka,Hrachova kasa s udeninou,Ovocna zemlovka,
2019-10-22,Veda,Kremova z mini kukurice,Cibulova pakora v indickej jogurtovej omacke,Miesana zelenina indickej omacke so struhanym kokosom,Bataty indickej omacke,Sampiony indickej spenatovej omacke
