date,podnik,polievka,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2019-07-15,Jedla lenka,UPOZORNENIE,Od pondelka 15.07 do piatka 02.08. vratane,Bude nasa prevadzka z dovodu cerpania dovoleniek,ZATVORENA,
2019-07-15,Kasa,Porkova polievka,Grilovany syr brusnicovy dzem,Krkovicka s jablkovym ciderom,,
2019-07-15,Mestiansky piv,Domaca kapustnicaA,Bravcova krkovicka na rasci so zemiakovou kasou a kyslou uhorkouA,Penne All Arrabiata s kuracim masom a syromA,,
2019-07-15,Red Cafe,Brokolicova polievka,Kuraci gyros v tortille tzaziki,Penne formaggi,Polievka pizza z ponuky,
2019-07-15,Suvlaki,Sampinonova polievka,Grilovane jahnacie karbonatky domace hranolky tzatziki dip pita chlieb cibulka,Zapecene cestoviny s tuniakom muslami paradajkovou omackou a syrom,Pecene kuracie stehienka s cervenou paprikou rozmarinom pivova omacka,SPAKOTIROPITA Zapecene listkove cesto plnene spenatom syrom feta a jogurtom
2019-07-15,Svadby a Kari,Mrkvovo rebarborova kremova polievka,Vietnamske kuracie kari s ananasom mrkvou a baby zemiakmi uhorkova raita v kari v raite,Thajske VEGAN kokosovo hlivove kari s batatmi kukurickou tofu a oranzovou paprikou cviklove catni,,
2019-07-15,U Hasica,Karfiolova,Kuracie na cinsky sposob ryza,Madarsky gulas knedla,Makove sulance,
2019-07-15,U Majky,Hrachova,Bravcove na porku,Vyprazany kuraci rezen v chilli cest,Zeleninove rizoto,
2019-07-15,Veda,Soup paradajkova,Zemiaky a baklazan v indickej omacke,Cuketa a cicer v indickej omacke,Miesana zelenina v indickej omacke na sposob madrasi,Miesana zelenina v omacke s kokosovym mliekom a thajskym zltym kari
2019-07-15,Veglife,Provensalska zeleninova polievka,Karfiolovy nakyp so syrom zemiakove pyre s maslom,Cviklove kari s batatmi jazminova ryza,Rizoto s trojfarebnou paprikou a olivami,Bryndzove prazenky zemiakove pyre s maslom
2019-07-16,Alzbetka,Fazulova s udenym masom,Zemiakova nakyslo,Hovadzi gulasso zemlovou knedlou,Vyprazany ementalvarene zemiaky s maslomtatarska omacka,Kremove natur rizoto s kuracim masom rukolou a parmezanom
2019-07-16,Bioland,Eintopf zeleninovo strukovinova polievka,Domace spaldove halusky s bryndzou tofu slaninkou a cerstvou pazitkou,Pecena zelenina na kokosovom oleji s citronovym tymianom,Bananove tiramisu bezlepkove,
2019-07-16,Bistro Mnamka,Mrkvova kremova so slnecnicovymi semiackami,Kuracia zeleninova fasirka zemiakova kasa majonezovo mrkvovy salat,Bravcova kapsa na prirodno plnena slaninou nivou prirodna omacka dusena ryza,Salat caprese s granatovym jablkom olivovy olej pizza chlieb,Domace parene buchty poliate horucou lesnou zmesou praskovy cukor
2019-07-16,BlueBear,Paprikova polievka s krupami,Bravcovy Gordon blue s varenymi zemiakmi a tatarskou omackou,Kuraci platok zapekany s cuketou a paradajkou jemna mascarpone omacka s dusenou ryzou,Rybie file v parmezanovom cesticku na restovanych pazitkovych parisienkoch,TYZDENNE Grilovana treska na hraskovom pyre so zeruchou a citrusovo limetkovym maslom
2019-07-16,Centr klub,Sampinonova so zemiakmi,Salat s nivou jablkom pecenou repou a hriankou,Tekvicovy privarok hovadzie dusene varene zemiaky,Fish and chips s koprovou majonezou,
2019-07-16,Ceska piv,Tekvicova polievka hokkaido,Tagliatelle so kuracim masom a susenou paradajkou posypane parmezanom,Vyprazana bravcova kapsa plnena pivnym syrom a sunkou varene zemiaky a paradajkovo cibulovy salat,Caesar salat,XXLVyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom
2019-07-16,Dilema,Sosovicova s parkom,Kuraci steak zapeceny s hruskou a ementalom americke zemiaky BLUECHEESE omacka salat,Pecene bravcove pliecko na pive tarhona kysla uhorka,Brokolicove fasirky so spenatom varene zemiaky s vnatkou domaca tatarska omacka,Panenka na grile s omackou z lesnych hribov dusena ryza
2019-07-16,Jedla lenka,ZATVORENE,,,,
2019-07-16,Kasa,Karfiolova polievka s muskat orieskom,Cviklove placky,SPECIAL Fish curry s morskymi plodmi za,,
2019-07-16,Mestiansky piv,Cesnakovy krem s krutonmiA,Kuraci pfeffer steak s dusenou ryzou a uhorkovym salatomA,Zemiakovy privarok so stefanskou sekanouA,,
2019-07-16,Red Cafe,Borsc polievka,Kuracie prsia v parmezanovej struhanke americke zemiaky uhorkovy salat,Salat so sunkou a vajickom dressing celozrnny chlebik,Polievka pizza z ponuky,
2019-07-16,Suvlaki,Mrkvova polievka Carrot soup,Grilovane SYR CHALUMI SUVLAKI spizy ks domace hranolky pita chlieb tzatziki cibulka,Dusene bravcove maso s olivami horcicova omacka,Pecena kura s paprikou a rozmarinom,Zapecena tortilla plnena porom baklazanom syrom
2019-07-16,Svadby a Kari,Polievka z peceneho baklazanu a paradajok s oreganom,Thajske cervene hovadzie kari s farebnymi paprikami batatmi a cuketou marhulovy salat s thajskou bazalkou v kari,Tekvicovo broskynove kari s cicerom kokosovym mliekom baklazanom a paradajkami salat z bielej redkvicky a sezamu v prilohe,,
2019-07-16,U Hasica,Brokolicova kremova,Hovadzie na hubach ryza,Francuzske zemiaky,Vyp sampinony zemiaky tat omacka,
2019-07-16,U Majky,Ostro kysla,Pecena kuracia stvrtka,Vyprazane bravcove kare,Plneny baklazan,
2019-07-16,Veda,Soup indicka spenatova,Sampiony v indickej kremovej omacke,Zemiaky a hrasok v indickej omacke,Zeleninove fasirky v indickej omacke,Paprika a kukurica v indickej spenatovej omacke
2019-07-16,Veglife,Mrkvova polievka s kokosovym mliekom,Grilovane robi na pikantnom spenate pecene zemiaky V P,Kremove krupoto s pecenou paprikou parmezanom a koriandrom,Zelerovo mrkvove placky na cervenej sosovici ryza natural,Tofu kung pao ryza basmati B V P
2019-07-17,Alzbetka,Kapustova s klobasou,Drobkova s mrvenickou,Vyprazana bravcova kapsa plnena so sunkou syrom sampinonmizemiakova kasakysly mix,Sosovicovy privarokpecena klobasachlieb,Grecky salat s feta syrom olivamihrianky
2019-07-17,Bioland,Hrachova kremova s veganskou slaninou,Gratinovane paradajky plnene psenom a parmezanom s rukolovo slnecnicovym salatom,Miesany salat s uhorkou paprikou paradajkou slnecnicovymi semienkami greckym syrom a horcicovo medovou zalievkou,Raw ananasova torta,
2019-07-17,Bistro Mnamka,Slepaci vyvar s masom a zeleninou,Kuraci steak s dusenou zeleninkou na masle dusena ryza,Bolognese lasagne parmezan,Salat s vyprazanym camembertom brusnice pizza chlieb,Domace parene buchty poliate horucou lesnou zmesou praskovy cukor
2019-07-17,BlueBear,Fazulova polievka s vajickom,Orechove slize s maslom a cukrovou posypkou,Marinovana bravcova krkovicka so stuchanymi zemiakmi a chilli BBQ omackou,Celozrnne kremove spagety so struhanym modrym syrom a rukolou,TYZDENNE Grilovana treska na hraskovom pyre so zeruchou a citrusovo limetkovym maslom
2019-07-17,Centr klub,Luskova na kyslo,Francuzske zemiaky s kyslou uhorkou,Wrap s kuracim masom cili majoneza hranolky,Bravcova Saltimbocca ryza zeleninovy salat,
2019-07-17,Ceska piv,Borsc,Granatiersky pochod s kyslou uhorkou,Znojemske bravcove s tarhonou,Listovy salat s kuracimi medajlonkami a jemnou citronovou zalievkou,XXLVyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom
2019-07-17,Dilema,Cesnakovy krem s krutonmi,Vyprazany kuraci rezen plneny sunkou a syrom ryza opekane zemiaky kapustovy salat coleslaw,Peceny moravsky vrabec dusena kysla kapusta parena knedla,Grecky salat s feta syrom a olivami grilovana bagetka paradajka uhorka paprika cibula,Panenka na grile s omackou z lesnych hribov dusena ryza
2019-07-17,Jedla lenka,ZATVORENE,,,,
2019-07-17,Kasa,Mrkvova polievka so zazvorom,Vegetarianska plnena paprika,Vykostene kur stehno na azijsky sposob,,
2019-07-17,Mestiansky piv,Hovadzi vyvar s rezancami,Hovadzi madarsky gulas domaca kysnuta knedla,Grilovany hermelin s brusnicovou omackou hranolky,,
2019-07-17,Red Cafe,Fazulkova na kyslo polievka,Tilapia s citronovou omackou zemiakove pyre,Zeleninove leco s klobaskou chlieb,Polievka pizza z ponuky,
2019-07-17,Suvlaki,Hraskova polievka Pea soup,Vyprazane rybky Gavros so salatom,Pecene bravcove rebra s medovo vinovou omackou,Dusene kuracie maso s ananasom kari jogurtova omacka,Letna omeleta s cuketou ruolou a cervenou paprikou
2019-07-17,Svadby a Kari,Studena RAW hraskova polievka s cviklovymi klickami,Indicke kuracie kari v paradajkovo kardamonovej omacke so sampinonmi karfiolom baklazanom a hrozienkami tahini humus,Indicky VEGE Saag v spenatovej omacke s fazulami a zeleninou cviklovo paradajkovy salat v kari,,
2019-07-17,U Hasica,Gulasova,Morcaci rezen ryza broskyna,Bryndzove pirohy,Palacinky so zmrzlinou a slahackou,
2019-07-17,U Majky,Zeleninova s ovsenymi vlockami,Kuracie sote,Zemiakovy privarok fasirka,Parene buchty,
2019-07-17,Veda,Soup sampionovo brokolicova kremova,Cierny cicer farebna paprika a domaci syr s indickym drvenym korenim,Mini kukurica a cukrovy hrasok v indickej omacke,Sampiony kukurica a paprika v indickej omacke,Miesana zelenina v omacke s kokosovym mliekom a thajskym cervenym kari
2019-07-17,Veglife,Hrstkova polievka,Mrkva na horcici a hubach pazitkove zemiaky,Shepherd s pie Pastiersky kolac,Seitan vindaloo pecene zemiaky,Celozrnne spagety s cervenym pestom orechami rukolou a tempehom V P
2019-07-18,Alzbetka,Sosovicova s klobasou,Zeleninova s vajickom,Znojemske sotetarhonakysla uhorka,Kuraci wraplistovy salat americke zemiakysyrovy dresing,Bravcovy steak s avokadovou salsoupecena zelenina
2019-07-18,Bioland,Gazpacho,Brokolica zapekana so zemiakmi smotanou nivou a cerstvym salatom,Bylinkovy pohankovy bulgur s fazulovymi luskami preliaty tekvicovym olejom,Chia puding z kokosoveho mlieka a ovocim,
2019-07-18,Bistro Mnamka,Kulajda,Vyprazany kuraci rezen v bylinkovej struhanke dusena ryza tzatziky salat,Pecena krkovicka s hubovou omackou stuchane zemiaky s jarnou cibulkou,Spenatove palacinky s cottage cheesom podavane na salate smotanovo bylinkovy dresing,Domace parene buchty poliate horucou lesnou zmesou praskovy cukor
2019-07-18,BlueBear,Zemiakova polievka s hraskom a kukuricou,Francuzske zemiaky s klobasou a uhorkovym salatom,Pecene kuracie stehno na sedliacky sposob s tarhonou paradajkovo cibulovy salat,Zeleninove lasagne s baby spenatom a parmezanom,TYZDENNE Grilovana treska na hraskovom pyre so zeruchou a citrusovo limetkovym maslom
2019-07-18,Centr klub,Fazulova s udenym masom,Dukatove buchticky s vanilkovym kremom a lesnym ovocim,Bravcove licka marinovane v bylinkach tarhona kapustovy salat,Morcaci rezen stuchane zemiaky cvikla,
2019-07-18,Ceska piv,Staroceska kulajda,Sunkovo syrovy spiz s varenymi zemiakmi tatarska omacka,Bravcova ciganska pecienka s pecenou cibulkou pecene zemiaky,Listovy salat s grilovanym encianom orechmi hroznom a brusnicami toast,XXLVyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom
2019-07-18,Dilema,Kapustnica,Pecene kuracie stehno dusena ryza kysla uhorka,Vyprazany bravcovy rezen slovensky zemiakovy salat s cibulou,Cestoviny penne so zelenym pestom cherry paradajkami a struhanym parmezanom,Panenka na grile s omackou z lesnych hribov dusena ryza
2019-07-18,Jedla lenka,ZATVORENE,,,,
2019-07-18,Kasa,Sosovicova polievka,Bryndzove halusky s karam cibulou,Kotlikovy gulas,,
2019-07-18,Mestiansky piv,Luskova na kysloA,Kuracie sote v zemiakovej placke so syrom a kapustovym salatomA,Bravcove rizoto s hribami rukolou a syromA,,
2019-07-18,Red Cafe,Zeleninova s mrvenickou polievka,Plnena paprika knedla,Spageti Aglio olio s kuracim masom,Polievka pizza z ponuky,
2019-07-18,Suvlaki,Paradajkova polievka,Grilovane kuracie SUVLAKI spizy s domacimi hranolkami pita chlieb tzatziki cibulka,Dusene bravcove maso s mrkvou koriandrom pomarancova omacka,Dusene morcacie maso s s paprikou sampinonmi paradajkova omacka,Zapeceny baklazan s cesnakom olivami a syrom na grecky sposob
2019-07-18,Svadby a Kari,Kukuricna polievka s chilli a koriandrom,Kokosove vege kari s citronovou travou galangalom hlivou cuketou a paradajkami thajsky uhorkovy salat,Vonave hovadzie kari s batatmi tekvicou a brusnicami hruskove chutney,,
2019-07-18,U Hasica,Hovadzia,Kuracia ciganska ryza hranolky,Bravcovy paprikas kolienka,Pecene zemiaky plnene syrom a slaninkou,
2019-07-18,U Majky,Frankfurtska,Bravcove na hriboch,Kuracie stehno vyprazaneg,Benaitske rizoto,
2019-07-18,Veda,Soup cuketova kremova,Fazula v masala omacke,Zemiaky v indickej spenatovej omacke,Zeleninove fasirky v indickej jogurtovej omacke,Sampiony a tekvica v indickej omacke
2019-07-18,Veglife,Minestrone polievka,Vegan Paella,Francuzske zemiaky s tofu,Baklazanove ragu s cicerom a bazalkou ryza natural,Pohankove gulky na svieckovej omacke pecene zemiaky
2019-07-19,Alzbetka,Frankfurtska s parkom,Karfiolova so syrom,Losos v orechovej krustes dusenym spenatomvarene zemiaky,Bravcova zivanskapecene zemiakyalma paprika,Miesany listovy salat s tuniakom vajickombylinkovy dresing  toasty
2019-07-19,Bioland,Francuzska zeleninova s bezlepkovymi cestovinami,Spagety arrabbiata s olivami bazalkou a veganskym parmezanom,Plneny kapustny list s potlacenou zeleninou na paradajkovej omacke,Raw cucoriedkova torta,
2019-07-19,Bistro Mnamka,Hraskova kremova s klobasou,Kuraci spiz v medovo pikantnej marinade pecena kukurica domace americke zemiaky,Francuzske zemiaky kysla uhorka,Salat s burritom chilli majoneza,Domace parene buchty poliate horucou lesnou zmesou praskovy cukor
2019-07-19,BlueBear,Batatova polievka so skoricovym krutonom,Francuzske zemiaky s klobasou a uhorkovym salatom,Plnena bravcovo chedarova rolada pecena v slaninke zemiakove pyre,Zeleninova tortilla s fazulkou a kukuricou na listovom salate s jogurtovym chilli dipom,TYZDENNE Grilovana treska na hraskovom pyre so zeruchou a citrusovo limetkovym maslom
2019-07-19,Centr klub,Cibulacka so syrovym toastom,Listovy salat so zeleninou zaudene kuracie prsia jogurtovy dresing,Bravcova panenka s wok zeleninou bylinkova ryza,Chilli con carne zemiakova kasa listovy salat,
2019-07-19,Ceska piv,Slepaci vyvar s rezancami a masom,Bryndzove pirohy so slaninkou a pazitkou,Kuracia stvrt s ryzou kompotom a broskynou,Listovy salat s kuracimi nugetkami medovo horcicovy dresing,XXLVyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom
2019-07-19,Dilema,Karfiolova s hraskom,Zapekane kuracie prsia s paradajkou a mozzarellou dusena ryza listovy mix salat,Marinovana krkovicka s diabolskou omackou a fazulkou stuchane zemiaky jemne pikantne,Vyprazany Oravsky ostiepok hranolky domaca tatarska omacka,Panenka na grile s omackou z lesnych hribov dusena ryza
2019-07-19,Jedla lenka,ZATVORENE,,,,
2019-07-19,Kasa,Zelerovy krem,Hlivovy Bourguignon,Roastbeef,,
2019-07-19,Mestiansky piv,MinestroneA,Pecene bravcove pliecko s dusenou cervenou kapustou a kysnutou knedlouA,Vyprazane rybie file s varenymi zemiakmi s bylinkovym dressingomA,,
2019-07-19,Red Cafe,Paradajkova polievka,Provensalsky kuraci steak opekane zemiaciky,Grecky salat s pizza stanglou,Polievka pizza zponuky,
2019-07-19,Suvlaki,Karfiolova polievka Cauliflower soup,Pecene rybacie filety s rozmarinom cerstvymi paradajkami a cesnakom,Zapecene cestoviny s mletym bravcovym masom a syrom,Pecene kuracie karbonatky s rozmarinom vinovo horcicova omacka,Zapeceny cicer so zeleninou paradajkova omacka
2019-07-19,Svadby a Kari,Paradajkova polievka s cerstvou bazalkou a kokosovym mliekom,Indicky maslovy dhal z cervenej sosovice pomarancovo uhorkova raita,Thajske zlte kari so zeleninou a kuracim masom stir fry kapusta,,
2019-07-19,U Hasica,Luskova,Kuracie sote Hugaria v zemiakovej placke,Vyprazany karfiol zemiaky tat omacka,Penne nivova omacka,
2019-07-19,U Majky,Kapustova,Kuracie rezanceky na hrasku,Belehradske zemiaky pecena krkovicka,Pecene buchty,
2019-07-19,Veda,Soup thajska brokolicova,Zemiaky karfiol a paradajky v indickej omacke,Mango a brokolica v indickej omacke,Zeleninove fasirky v indickej spenatovej omacke,Miesana zelenina v indickej omacke s ovocnym koktejlom
2019-07-19,Veglife,Tekvicova polievka,Brokolicove placky s cedarom v rajcinovej omacke s bazalkou petrzlenove zemiaky,Zapekana maslova tekvica so zemiakmi a smotanou,Sosovicova sekana s udenym tofu a orechami stuchane zemiaky s olivovym olejom,Hlivovo sampinonovy gulas ryza natural
2019-07-22,Alzbetka,Slepaci vyvar s rezancami,Tekvicovy krem s krutonmi,Kuraci rezen v cornflakesochpecene zemiaky s rozmarinompikantny dresing,Linguine bolognese s parmezanom a rukolou,Miesany listovy salat s kozim syrom grilovanou zeleninoubalsamico dresinghrianky
2019-07-22,Bioland,Spenatova kremova,Krupoto s lesnymi hubami a parmezanom,Tempehovy gyros s pecenymi zemiakmi a dresingom,Raw vanilkova pena s ovocim,
2019-07-22,Bistro Mnamka,Petrzlenovy krem s cerstvou vnatkou balzamiko,Indicke maslove kura s kokosovym mliekom dusena ryza,Zemiakove knedlicky plnene udenym dusena kapusta smotana cibulka,Salat s vyprazanou mozzarellou majonezovo bylinkovy dip pizza chlieb,
2019-07-22,BlueBear,Cesnakova cira so syrom a krutonmi,Vyprazany bravcovy rezen z krkovicky so zemiakovo cibulovym salatom,Sote z kuracich stehien s grilovanou farebnou paprikou a dusenou kukuricnou ryzou,Tuniakova tortilla so salatom cibulkou a baby spenatom,TYZDENNE Club sendwich so sous vidovanou bravcovou panenkou cerstvou zeleninkou a red pepper majonezou s domacimi hranolkami
2019-07-22,Centr klub,Hraskovy krem s vypecenou slaninou,Penne arabiatta s mozzarellou caprese a bazalkou,Kuraci steak nivova omacka zemiakove krokety,Bravcova panenka s horcicovou omackou dusena ryza,
2019-07-22,Ceska piv,Cesnakova cira polievka so syrom,Kuraci platok zapekany s mozzarellou a paradajkou prirodna omacka ryza a miesany salat,Bravcove na hriboch so slovenskou ryzou kysla uhorka,Listovy salat s kuracimi prsiami sojovou omackou sezamovym olejom a semiackami,XXLVyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom
2019-07-22,Dilema,Minestrone,Kuraci GYROS ryza hranolky uhorkove tzatziky,Hrachovy privarok s grilovanou klobaskou chlieb,Granatiersky pochod kysla uhorka,Miesany zeleninovy salat s grilovanym kozim syrom a brusnicami karamelizovana salotka s brusnicami bagetka na grile
2019-07-22,Mestiansky piv,Kelova s klobasou,Kuracie ostrokysle rezance dusena ryza,Liptovske strapacky,,
2019-07-22,Red Cafe,Hrstkova polievka,BBQ vykostene kuracie stehna grilovana zelenina,Francuzske zemiaky s kyslou uhorkou,Polievka pizza z ponuky,
2019-07-22,Suvlaki,Brokolicova polievka Broccoli soup,Grilovane bravcove SUVLAKI spizy domace hranolky tzatziki dip pita chlieb cibulka,Dusene bravcove maso s hraskom paradajkova omacka,Dusene kuracie maso s mandarinkami a medom,Vegetarianske PASTICIO Zapecene cestoviny s baklazanom cervenou paprikou besamel omacka
2019-07-22,Svadby a Kari,Zeleninova kremova polievka s limetovymi listami,Spenatove kari s kuracim masom paprikami hraskom a karfiolom cibulove catni,Thajske kokosove kari,,
2019-07-22,U Hasica,Zeleninova,Kuracie na slaninka ryza,Bravcove na bratislavky sposob knedla,,
2019-07-22,U Majky,Hraskova kremova,Bravcove na srbsky sposob,Vyprazany kuraci rezen plneny encianom,Dukatove buchticky,
2019-07-22,Veda,Soup borsc,Zemiaky v indickej jogurtovej omacke,Cuketa a cicer v indickej omacke,Karfiol a cibula v indickej omacke,Zeleninove fasirky v indickej omacke
2019-07-22,Veglife,Brokolicova kremova polievka,Cuketove placky so syrom stuchane zemiaky s olivovym olejom,Baklazan na cervenom kari s kokosovym mliekom jazminova ryza B V P,Robi gyros s tekvicovo batatovou omackou pecene zemiaky,Cviklove psenoto s hraskom
2019-07-23,Alzbetka,Hrstkova s udenym masom,Minestrone s parmezanom,Kuraci perkelts kolienkami,Vyprazany encianvarene zemiaky s maslombrusnicova omacka,Bravcovy steak s kovbojskym maslompecene bataty
2019-07-23,Bioland,Karfiolova s hraskom a kukuricnymi haluskami,Falafel s bylinkovym dipom zeleninovymi hranolkami a salat,Miesany salat so susenymi rajcinami uhorkou tofu jarnou cibulkou tekvicovymi semienkami a tekvicovym olejom,Kavova torta s cokoladovym kremom,
2019-07-23,Bistro Mnamka,Fazulova so zeleninou,Kuracia kapsa plnena zeleninovo plnkou prirodna omacka opekane zemiaky,Gnocchi s pulled pork masom parmezan cerstva petrzlenova vnatka,Salat s quesadilla tortillou bylinkovy dip,Domace parene buchty poliate karamelom a posypane kokosom
2019-07-23,BlueBear,Topinamburovy krem s kurkumou,Vyprazany bravcovy rezen z krkovicky so zemiakovo cibulovym salatom,Hovadzie dusene na smotane s hlivou a spenatom s parenou knedlou,Sparglove cestoviny s olivami jarnou cibulkou a rukolou,TYZDENNE Club sendwich so sous vidovanou bravcovou panenkou cerstvou zeleninkou a red pepper majonezou s domacimi hranolkami
2019-07-23,Centr klub,Bryndzova s mrvenicou a pazitkou,Salat s kuracim masom kuskus vajicko jogurtovy dresing cesnakove krutony,Bravcove kare na zelenine a bylinkach tarhona,Hovadzi stroganov halusky,
2019-07-23,Ceska piv,Paradajkova polievka so syrom,Kuracie rezance s porkovou omackou a ryzou,Vyprazany ostiepok s varenymi zemiakmi a tatarskou omackou,Caesar salat,XXLVyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom
2019-07-23,Dilema,Brokolicovy krem s krutonmi,Perkelt z kuracich prs domace maslove halusky,Bravcovy Ciernohorsky rezen so struhanym syrom opekane zemiaky coleslaw salat,Spenatove rizoto s grilovanou paradajkou a syrom,Miesany zeleninovy salat s grilovanym kozim syrom a brusnicami karamelizovana salotka s brusnicami bagetka na grile
2019-07-23,Jedla lenka,ZATVORENE,,,,
2019-07-23,Kasa,DOVOLENKUJEME,,,,
2019-07-23,Mestiansky piv,Sampinonovy krem,Segedinsky gulas domaca kysnuta knedla,Vyprazany syr hranolky tatarska omacka,,
2019-07-23,Red Cafe,Gulasova polievka,Bravcove sote na hribikovej omacke specle,Caesar salat s krevetami,Polievka pizza z ponuky,
2019-07-23,Suvlaki,Cuketova polievka Zucchini soup,Vyprazane rybacie filety,Dusene bravcove maso s articokmi citronova omacka,Pecene kuracie stehno s rozmarinom horcicova omacka,Zeleninova omeleta
2019-07-23,Svadby a Kari,Uhorkove Gazpacho s jogurtom a matou,Thajske zlte hovadzie kari s cuketou bambusovymi vyhonkami paprikami a paradajkami salat z bielej redkovky s limetovym dresingom kari,Indicke fazulove kari s mrkvou paradajkami a baklazanom cviklovy salat s jarnou cibulkou kari VEGAN,,
2019-07-23,U Hasica,Fazulova,Kuracie so zeleninou ryza,Fasirka zemiakovy privarok chlieb,Granadir uhorka,
2019-07-23,U Majky,Hlivova,Kuraci stroganov,Vyprazane bravcove kare,Ryzovy nakyp,
2019-07-23,Veda,Thajska mrkvova,Papad soja a hrasok v indickej omacke,Zemiaky fazulove struky a paradajky v indickej omacke,Baklazan v indickej omacke s nakladanym pickles,Farebna paprika a sampiony v indickej omacke
2019-07-23,Veglife,Paradajkova polievka s bielou fazulou,Zapekane chaluparske zemiaky,Kelovy zavin plneny paradajkami a balkanskym syrom zemiakove pyre s restovanou cibulkou,Sampinony na mrkve a pore ryza natural,Tofu na wok zelenine ryza basmati
2019-07-24,Alzbetka,Drzkova,Mrkvovy krem s bylinkovymi krutonmi,Segedinsky gulasparena knedla,Domace leco s klobasouchlieb,Morcacie prsia s rukolovo olivovym pestompecena zelenina
2019-07-24,Bioland,Luskova so zemiakmi na kyslo s ryzovou smotanou,Chrenova omacka s domacou knedlou a robi platkami,Granadir s pohankovou cestovinou a domacim cviklovym salatom,Bezlepkove jablkove pite,
2019-07-24,Bistro Mnamka,Slepaci vyvar s masom a zeleninou,Pecene kuracie stehna dusena ryza kompot,Hlivovy paprikas domace halusky na bravcovej masti,Salat s grilovanym ostiepkom brusnice pizza chlieb,Domace parene buchty poliate karamelom a posypane kokosom
2019-07-24,BlueBear,Zemiakova s restovanou sunkou,Zemiakove gulicky plnene cokoladou v omacke z lesneho ovocia a cukrovou posypkou,Grilovane bravcove rebierko marinovane v BBQ omacke s pecenymi zemiakmi a kaparovou redukciou,Peceny clariass filet so zemiakovou kasou a jemnou koprovou omackou,TYZDENNE Club sendwich so sous vidovanou bravcovou panenkou cerstvou zeleninkou a red pepper majonezou s domacimi hranolkami
2019-07-24,Centr klub,Zelerovy krem s jablkami,Vyprazany syr hranolky tatarska omacka,Hovadzi gulas parena knedla,BBQ kuracie kridelka americke zemiaky cesnakova majoneza,
2019-07-24,Ceska piv,Karotkovy krem,Kuracia rolada plnena vajcom sunkou syrom a kyslou uhorkou ryza s prirodnou omackou a miesanym salatom,Bravcova kapsa plnena slaninou cibulou a udenym syrom varene zemiaky s paradajkovo cibulovym salatom,Listovy salat s grilovanym encianom orechami hroznom a brusnicami toast,XXLVyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom
2019-07-24,Dilema,Luskova na kyslo,Kuraci WRAP so zeleninou a slaninkou hranolky RANCH dressing,Hovadzi Madarsky gulas parena knedla,Cestoviny penne PUTTANESCA s parmezanom pomodoro sardeli cierne olivy cesnak vnatka,Miesany zeleninovy salat s grilovanym kozim syrom a brusnicami karamelizovana salotka s brusnicami bagetka na grile
2019-07-24,Jedla lenka,ZATVORENE,,,,
2019-07-24,Kasa,DOVOLENKUJEME,,,,
2019-07-24,Mestiansky piv,Hovadzi vyvar s pecenovymi haluskami,Hovadzie varene s chrenovou omackou a domacou kysnutou,Granatiersky pochod domaca calamada,,
2019-07-24,Red Cafe,Fazulova na kyslo polievka,Kur Cordon Bleu americke zemiaky mix salat,Sampinonove rizoto mix salat,Polievka pizza z ponuky,
2019-07-24,Suvlaki,Paradajkova polievka,Grilovane SUVLAKI zo syra CHALUMI domace hranolky pita chlieb tzatziki cibulka,Pecene bravcove gulicky s vinovou omackou,Dusene morcacie maso so slaninkou olivami paradajkovou omackou,Zapecene listkove cesto plnene baklazanom feniklom bazalkou syrom feta
2019-07-24,Svadby a Kari,Polievka zo zlteho melonu s pomarancovou stavou RAW VEGAN,Marocke kuracie kari na marhuliach so zemiakmi pecenym cesnakom matou a paradajkami hummus s koriandrom priloha,Thajske arasidove kari s maslovou tekvicou hraskom paradajkami a thajskou bazalkou uhorkovy salat s riasami wakame a sezamom kari priloha VEGAN,,
2019-07-24,U Hasica,Slepaci vyvar,Bravcove na hrasku ryza,Vyprazany rezen zemiaky salat,Spagety syrova omacka,
2019-07-24,U Majky,Francuzska,Hovadzi mex gulas,Cevapcici,Zapekana cestovina so zeleninou,
2019-07-24,Veda,Thajska brokolicovo sampionova,Knedliky s cicerovej muky v indickej jogurtovej omacke,Zemiaky a biela redkovka v indickej omacke,Miesana zelenina v indickej omacke,Farebna paprika a fazula s indickym drvenym korenim
2019-07-24,Veglife,Falosna drzkova z hlivy,Kukuricna polenta s parmezanom a grilovanou zeleninou paradajkovo kaparova omacka,Lasagne spenatovo paradajkove,Segedinsky gulas s udenym BIO tempehom knedla,Masala Masoor ryza basmati
2019-07-25,Alzbetka,Kelova s udenym masom,Paradajkova so syrom,Kuracie stehno na hribochdusena ryza s hraskomkysle uhorky,Bravcove buritoshranolkysyrovy dresing,Tekvicove natur rizoto s baby spenatom a parmezanom
2019-07-25,Bioland,Zeleninova polievka s batatmi a cviklou,Ratatouille s rastlinnym syrom a bazalkou,Zemiakove kari s hraskom a s celozrnnou kurkumovou ryzou,Vegansky malinovy cheescake,
