datum,podnik,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2021-08-04,Centr klub,Hrachova so zeleninou,Francuzske zemiaky kysla uhorka,Morcacie stehno marinovane v bylinkach slovenska ryza uhorkovy salat,,
2021-08-04,Ceska piv,Slepaci vyvar s masom a rezancami,Kapustova polievka s klobasou,Spagety Carbonara,Kuracie prsia zapekane s encianom a olivami ryza,Salat s grilovanou bravcovou panenkou
2021-08-04,Galileo,Cukinovy krem,Svieckova na smotane s knedlou,,,
2021-08-04,Kasa,Polievka z cervenej nelupanej sosovice,Hlivovy paprikas,SPECIAL Konfitovane kacacie stehno cervena kapusta,,
2021-08-04,Milton,Kari kuracia polievka so zeleninou ryzovymi rezancami koriandrom a zelenou kari pastou,Grilovane kuracie prsia plnene olivami sus paradajkami a mozzarellou,Pappardelle all Arabiata,Olivovy olej cibula cesnak cerstve chilli papricky paradajky a drvene paradajky,Konfitovane kacacie stehno omacka Grand Veneur
2021-08-04,Prazsky pub,Kuraci vyvar s rezancami a zeleninou,Plneny bravcovy rezen na prirodno so sunkou syrom a spenatom s hranolkami,Salat s tuniakom krutonmi vajickom a bazalkovym dressingom,,
2021-08-04,Red Cafe,Brokolicova kremova polievka,Pffefer steak z bravcovej panenky rozmarinove zemiaky,Spenatove halusky na syrovej omacke s kuracimi kuskami,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-08-04,RTVS,Zeleninova jarna,Bryndzove halusky so slaninkou,Bravcovy steak s volskym okom dusena ryza,Mlety rezen so syrom zemiaky s vnatkou,
2021-08-04,Spilka,Sampinonovy krem,Sosovicovy privarok s trhanym hovadzim masom      a,Bulgur s wakame salatom agrilovanym tofu a mangom,,
2021-08-04,Suvlaki,Mili priatelia fanusikovia z dovodu dovolenky Bistro Suvlaki bude ZATVORENE od,Opat sa nas tesime v PONDELOK,,,
2021-08-04,Veglife,Paradajkova polievka s bielou fazulou,Krupkovo syrove karbonatky zemiakove pyre s maslom,Segedinsky gulas s udenym BIO tempehom parena knedla,Cicerovo quinoove kari ryza jasminova B V P,Salat Mexicky kukuricovy salat
2021-08-05,Alzbetka,Spenatova so syrom,Quesadila s bravcovym trhanym masom a zemiakovymi hranolkami kysla smotana,Plnena paprika s parenou knedlou,Rucolovy salat s baby mozzarellou cherry paradajky cierne olivy a balsamico dresing,
2021-08-05,Bioland,Borsc s korenovou zeleninou alergeny zeler,Sosovicovy salat s horcicnymi semienkami a susenymi paradajkami alergeny horcicne semienko,Pecene tofu s dusenou kapustou a zemiakmi alergeny soja,Jahodovy cheescake alergeny lepok mlieko vajcia,
2021-08-05,BlueBear,Fazulova polievka s klobasou,Morcacie na zelenine s jazminovou ryzou a rukolou,G Lososove cestoviny s parmezanom a pazitkou,,TYZDENNE Jalapenos Burger s trhanym bravcovym masom a domacimi hranolkami
2021-08-05,Centr klub,Gulasova s majoranom,Jablkovo tvarohova zemlovka,Pecene kuracie stehno ryza broskynovy kompot,,
2021-08-05,Galileo,Karfiolova polievka,Bravcovy rezen na hrasku s tarhonou,,,
2021-08-05,Kasa,Zemiakova polievka na kyslo,Dahl z ciernej fazule,Fasirka,,
2021-08-05,Milton,Divinove consome silny vyvar z jelenich kosti zelenina a pecenove halusky,Vyprazane kuracie stehno s kostou v bezlepkovej uprave,Grilovana morska ryba,Kremove jahnacie ragu s dubakmi a Chardonay,Zmrzlinovy pohar ovocie vyber zmrzliny a sorbetu cokolada a slahacka
2021-08-05,Prazsky pub,Sosovicova na kyslo,Svieckova na smotane s parenou knedlou,Farfalle s kuracim masom syrovou omackou a porom,,
2021-08-05,Red Cafe,Francuzska cibulacka so syrovym krutonom,Vypr vykostene kuracie stehno zemiak kasa mix salat,Grilovany encian na listovom salate sipkovy dip,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-08-05,RTVS,Hrachova polievka,Cestoviny penne s arabiata omackou syr,Pecene maso cervena kapusta knedla,Francuzske zemiaky,
2021-08-05,Spilka,Faztkova polievka na kyslo,Kuraci perkel s domacimi haluskami,Spenatove canelloni s ricottou a spenatom,,
2021-08-05,Suvlaki,Mili priatelia fanusikovia z dovodu dovolenky Bistro Suvlaki bude ZATVORENE od,Opat sa nas tesime v PONDELOK,,,
2021-08-05,Veglife,Kari polievka s kokosovym mliekom,Robi karbonatky zemiakove pyre s restovanou cibulkou,Gnocchi so syrovo brokolicovou omackou a pazitkou,Sosovicova sekana s tempehom a sampinonmi zemiakove pyre s restovanou cibulkou,Salat Uhorkovy s matou
2021-08-06,Alzbetka,Slepaci vyvar s pecenovymi haluskami,Spanielsky vtacik s tarhonou,Vyprazana morska stuka v pivnej tempure s maslovou kasou petrzlenova majoneza      Rucolovy salat s baby mozzarellou cherry paradajky cierne olivy a balsamico dresing,,
2021-08-06,Bioland,Zeleninová polievka s batátmi a cviklou alergény neobsahuje,Vegánske paradajkové lasagne s cuketou a šalátom alergény lepok,Hubovo hráškový kotlík s pažítkou a pšenom alergény neobsahuje,Čokoládová quinoa s karamelizovaným ananásom a pomarančovou šťavou alergény neobsahuje,
2021-08-06,BlueBear,Cesnaková krémová polievka,Hovädzie rezančeky na hrášku s dusenou tarhoňou,Vyprážané cuketové tyčinky s varenými zemiakmi a tatárskou omáčkou,,TYZDENNE Jalapeňos Burger s trhaným bravčovým mäsom a domácimi hranolkami
2021-08-06,Centr klub,Mrkvový krém so zázvorom a krutónmi,Penne arabiata bazalka mozzarella caprese,Bravčová sekaná zemiakový prívarok kôpor vajíčko chlieb,,
2021-08-06,Galileo,Šošovicová polievka,Mexické kuracie soté s dusenou ryžou,,,
2021-08-06,Kasa,Slepačí vývar,Grilovaný encián,Bryndzové špenátové halušky so slaninou,,
2021-08-06,Milton,Cícerový krém s Tahinou sezamová pasta dochutený citrónovou šťavou,Plátky z falošnej hovädzej sviečkovice dusené v horčicovej zeleninovej omáčke,Cisársky trhanec s hrozienkami,Na kruste z morskej soli pečený filet zo zubáča,Prudko grilované plátky z hovädzej sviečkovice
2021-08-06,Prazsky pub,Mrkvová polievka s hráškom a krupicovými haluškami,Vyprážaná morská šťuka so zemiakovým šalátom,Gnocchi s restovanou kuracou pečienkou šalviou paradajkami a parmezánom,,
2021-08-06,Red Cafe,Šošovicová na kyslo polievka,Kuracie Kung Pao jasmínová ryža,Koložvárska kapusta,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-08-06,RTVS,Slepačia polievka,Pečené buchty s džemom,Vyprážaný syr mastené zemiaky tat omáčka,Kotlíkový guláš chlieb,
2021-08-06,Spilka,Tortilová polievka s fazuľou       ao,Hovädzie curry s kuskusom a zeleninou,Ruesadilla savokádom kukuricou a paradajkovou salsou,,
2021-08-06,Suvlaki,Mili priatelia fanušikovia z dôvodu dovolenky Bistro Suvlaki bude ZATVORENÉ od,Opäť sa nás tešíme v PONDELOK,,,
2021-08-06,Veglife,Zemiaková polievka na kyslo,Fregola sarda s paradajkami,Tofu na wok zelenine ryža jasmínová,Zapekané bataty s tofu a bazalkovým pestom,Šalát Mozzarellový šalát s olivami
2021-08-09,Alzbetka,Hraskovy krem s krutonmi,Bravcovy cernohorsky rezen s varenymi zemiakmi a tatarskou omackou,Kuracie curry s jazminovou ryzou,Ceasar salat s grilovanymi krevetami,
2021-08-09,Bioland,Krémová brokolicovo špenátová s baby špenátom alergény neobsahuje,Cuketovo paradajkové rizoto s parmezánom vegan alergény neobsahuje,Špaldové rezance s makom a karamelovým jabĺčkom alergény lepok,Raw čučoriedková torta alergény orechy,
2021-08-09,BlueBear,Špenátová polievka so zemiakmi,Kuracie na hrášku s dusenou ryžou a kyslou uhorkou,Grilovaný encián s varenými zemiakmi tatárska omáčka,,TYZDENNE Sépiové špagety nerro s morskými plodmi bylinkami a parmezánovými hoblinami
2021-08-09,Centr klub,Hráškový krém s opečeným chlebom,Bryndzové halušky s vypečenou slaninou,Kurací steak pečená zelenina zemiaková kaša,,
2021-08-09,Ceska piv,Slepačí vývar s mäsom a rezancami,Kuracie prsia na prírodno s fazuľovými lúskami,Stroganov z bravčovej panenky s ryžou,Šalát s mozzarellou a medvedím pestom,
2021-08-09,Galileo,Polievka z fazuľových srukov na kyselo,Varené br stehno s kôprovou omáčkou a knedľou,,,
2021-08-09,Kasa,DOVOLENKUJEME,,,,
2021-08-09,Milton,Zeleninová krémová polievka s kokosovým mliekom a limetkovými lístkami,Sous Vide kuracia roláda vykostené kura a kuracie fauche v úprave Sous Vide,Grilovaný lososový steak plnený listovým špenátom,Konfitované kačacie stehno,Zmrzlinový pohár ovocie výber zmrzliny čokoláda a šľahačka
2021-08-09,Prazsky pub,Zemiakový krém so šampiňónmi,Kuracie rizoto so zeleninou strúhaným syrom a kyslou uhorkou,Penne s mäsovým ragú na smotane s rukolou,,
2021-08-09,Red Cafe,Tekvicová polievka,Kurací steak na nivovej omáčke pečené zemiaky,Vypr šampiňóny na listovom šaláte cesnakový dip,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-08-09,RTVS,Hovädzí vývar s cestovinou,Palacinky s tvarohom,Vyprážaný bravčový rezeň dusená ryža,Hydinový perkelt halušky,
2021-08-09,Spilka,S  druhy Ste pre,Kukuričná polievka s klobásou,Kurácie prsia s broskyňou zapečené so syrom a ryžou,Vyprážaný syr s hranolkami a domácou tatarkou,
2021-08-09,Svadby a Kari,Fazuľová polievka so sušenými paradajkami a čerstvým oreganom VEGAN,Srílanské cviklové VEGAN kari s bielymi fazuľami a zelenými fazuľkami limetovo petržlenové čatní,Indické baklažánové kuracie kari Pav Bhaji s maslom GHEE karfiolom zemiakmi a paradajkami limetovo petržlenové čatní,,
2021-08-09,Veglife,Lusková polievka na kyslo,Ananásové karí s tofu a kokosovým mliekom ryža jasmínová B V P,Grilované robi s červenou cibuľkou na hrachovej kaši šťuchané zemiaky s olivovým olejom,Zapekané tempehové gnocchi s cheddarom,Šalát Grécky šalát
2021-08-10,Alzbetka,Francuzska cibulacka so syrom,Kapustove strapacky s udenou krkovickou,Pecene kuracie kridelka so zemiakovymi hranolkami a coleslaw salatom,Ceasar salat s grilovanymi krevetami,
2021-08-10,Bioland,Zemiaková s čerstvým kôprom alergény neobsahuje,Indické Vindaloo s jazmínovou ryžou alergény horčičné semienko,Grilovaný encián s pečenými zemiakmi a bylinkovým dipom alergény mlieko,Tiramisu s kakaovým mascarpone alergény mlieko lepok vajcia,
2021-08-10,BlueBear,Paradajková polievka so syrom,Pečená fašírka so zemiakovou kašou a kyslou uhorkou,Špenátové halušky s omáčkou z modrého syra a chrumkavou cibuľkou,,TYZDENNE Sépiové špagety nerro s morskými plodmi bylinkami a parmezánovými hoblinami
2021-08-10,Centr klub,Zeleninová s mrvenicou,Vyprážaný syr hranolky tatárska omáčka,Pečená krkovička na pive tarhoňa paradajkovo paprikový šalát,,
2021-08-10,Ceska piv,Slepačí vývar s mäsom a rezancami,Šampiňónová krémová,Tagliatelle Arrabbiata,Vyprážaný bravčový rezeň slovenský zemiakový šalát,Šalát s grilovaným lososom a kôprovým dipom
2021-08-10,Galileo,Hŕstková polievka,Vyprážaný br rezeň so zemiakovým šalátom,,,
2021-08-10,Kasa,DOVOLENKUJEME,,,,
2021-08-10,Milton,Krémová polievka zo zeleného hrášku s mätovým olejom,Dusené hovädzie zadné z mladého býčka na lesných hríboch,Na kruste z morskej soli pečený filet zo zubáča podávaný na hráškovom pyré,Jahňacie kotlety marinované vyzretým balsamicom,Jahodové Tiramisu a la Milton no alcohol
2021-08-10,Prazsky pub,Hovädzí vývar,Bravčový rezeň s ryžou a kapustovým šalátom,,,
2021-08-10,Red Cafe,Hríbová so zeleninou polievka,Chilli con carne ryža,Brokolicové rizoto s mozzarellou,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-08-10,RTVS,Šošovicová kyslá,Kapustové fliačky,Hovädzie CHILLI CON CARNE dusená ryža,Bravčové karé znojemské tarhoňa,
2021-08-10,Spilka,Šošovicová polievka,Plnená papráka s paradajkovou omáčkou a domácou patenou knedľou,Restovaná ryža s hubami portobello a domácim kimchi,,
2021-08-10,Suvlaki,Mili priatelia fanušikovia z dôvodu dovolenky Bistro Suvlaki bude ZATVORENÉ od,Opäť sa nás tešíme v PON,Ďakujeme za vašu priazeň a podporu,,
2021-08-10,Svadby a Kari,Petržlenová polievka s kokosovým mliekom a limetkou VEGAN,Thajské žlté kari so žltým melónom cuketou a zelenými fazuľkami paradajkový šalát so sójou a čerstvou bazalkou,Thajské hovädzie Panang kari s arašídmi paprikou a cuketou    paradajkový šalát so sójou a čerstvou bazalkou,,
2021-08-10,Veglife,Harira marocká cícerová polievka,Jačmenné krúpky s bryndzou pažítkou a tempehom,Šošovicový gulaš s baklažánom a tofu ryža basmati,Cuketové placky so syrom indické zemiaky,Šalát Brokolicovo cviklový s polníčkom
2021-08-11,Alzbetka,Fazulova na kyslo,Hovadzi buritos s tortilla chipsami a kyslou smotanou,Hraskove rizoto s grilovanym kozim syrom,Ceasar salat s grilovanymi krevetami,
2021-08-11,Bioland,Krémová z koreňovej zeleniny s pažítkou alergény neobsahuje,Špagety bolognese z tofu a vegánskym parmezánom alergény sója lepok,Pohánková sekaná so zemiakovou kašou a restovanou cibuľkou alergény neobsahuje,Raw banánová torta alergény orechy,
2021-08-11,BlueBear,Lúsková polievka so zemiakmi,Zemiakové šúľance s maslom makom cukrová posýpka,Pečené kuracie stehno na sedliacky spôsob dusená tarhoňa,,TYZDENNE Sépiové špagety nerro s morskými plodmi bylinkami a parmezánovými hoblinami
2021-08-11,Centr klub,Lúsková na kyslo,Slivkové pirohy s opečenou strúhankou a maslom,Maďarský guláš parená knedľa,,
2021-08-11,Ceska piv,Slepačí vývar s mäsom a rezancami,Špenátová s vajíčkom,Kuracie prsia zapekané so slaninkou a enciánom ryža,Bravčový pivársky guláš s knedľou,Šalát s kuracími nugetkami medovo horčicový dresing
2021-08-11,Galileo,Čínska ostrokyslá polievka,Kurací perkelt so stehna s haluškami,,,
2021-08-11,Kasa,DOVOLENKUJEME,,,,
2021-08-11,Milton,Consomé z hovädzích špikových kostí niťovky a zelenina,Grilované kuracie psia plnené brokolicou a syrom,Grilovaná morská ryba,Anglický roastbeef podávaný krájaný na tenké plátky,Hruška varená v červenom víne podávaná s vanilkovou zmrzlinou
2021-08-11,Prazsky pub,Kurací vývar s rezancami a zeleninou,Plnený bravčový rezeň na prírodno so šunkou syrom a špenátom s hranolkami,Šalát s tuniakom krutónmi vajíčkom a bazalkovým dressingom,,
2021-08-11,Red Cafe,Cesnaková krémová s krutónmi polievka,Kurací Cordon Bleu tlačené zemiaky uhorkový šalát,Špenátové lasagne,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-08-11,RTVS,Zeleninová jarná,Bryndzové halušky so slaninkou,Bravčový steak s volským okom dusená ryža,Mletý rezeň so syrom zemiaky s vňaťkou,
2021-08-11,Spilka,Minestrone polievka,Bravčová kotleta s peper omáčkou a batátové hranolky,Cuketový prívarok s pošírovaným vajíčkom azemiakmi s cibuľkou,,
2021-08-11,Suvlaki,Mili priatelia fanušikovia z dôvodu dovolenky Bistro Suvlaki bude ZATVORENÉ od,Opäť sa nás tešíme v PON,Ďakujeme za vašu priazeň a podporu,,
2021-08-11,Veglife,Pórkovo zemiaková polievka,Zeleninové stir fry s tofu ryža jasmínová,Brokolicové lasagne s mozzarellou,Španielske natural rizoto s goody foody,Šalát Thajský uhorkový
2021-08-12,Alzbetka,Staroceska kulajda,Pecene kacacie stehno s cervenou kapustou a parenou buchtou nakladane brusnice,Gnocchi s paradajkovou omackou slanina cierne olivy rucola,Ceasar salat s grilovanymi krevetami,
2021-08-12,Bioland,Vegánska gulášová alergény zeler,Miešaný šalát s cviklou vegan syrom kešu orechmi olivami suš rajčinami a tek olejom alergény orechy,Lasagne s omáčkou bolognese z tofu mozzarellou a baby špenátom alergény lepok sója mlieko,Jablkovo kakaový koláč s polevou alergény lepok vajce mlieko,
2021-08-12,BlueBear,Gulášová polievka,Bryndzové halušky s restovanou slaninkou a mladou cibuľkou,G Grilovaná bravčová panenka so syrovou omáčkou a domácimi hranolkami,,TYZDENNE Sépiové špagety nerro s morskými plodmi bylinkami a parmezánovými hoblinami
2021-08-12,Centr klub,Šošovicová s párkom,Šalát s grilovanou zeleninou bylinkové pesto mozzarella caprese toast,Kurací rezeň v pivnom cestíčku pečené zemiaky bylinkový dresing,,
2021-08-12,Ceska piv,Slepačí vývar s mäsom a rezancami,Paradajková so syrom,Penne s kuracím mäsom a pórom parmezán,Bravčový vyprážaný cordon bleu varené zemiaky tatárska omáčka,Šalát s grilovaným enciánom hroznom a orechmi
2021-08-12,Galileo,Divynový vývar s cestovinou,Gordon Bleu so zemiakovou kašou kapustový šalát,,,
2021-08-12,Kasa,DOVOLENKUJEME,,,,
2021-08-12,Milton,Šošovicová polievka s údeninou a zemiakmi  chlieb,U nás pripravovaný hamburger u nás mleté hovädzie mäso,Fritované šampiňóny plnené ricottou pažítkou a syrom pecorino,Pomaly pečená roláda z mliečneho prasiatka,Cheesecake a mango couilis
2021-08-12,Prazsky pub,Šošovicová na kyslo,Sviečková na smotane s parenou knedľou,Farfalle s kuracím mäsom syrovou omáčkou a pórom,,
2021-08-12,Red Cafe,Kapustová s klobáskou polievka,Br soté v zemiakovej placke čalamáda,Kurací šalát s francúzskym dresingom celozrnná bagetka,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-08-12,RTVS,Hrachová polievka,Cestoviny penne s arabiata omáčkou syr,Pečené mäso červená kapusta knedľa,Francúzske zemiaky,
2021-08-12,Spilka,Mukgvový krém s koriandrom,Kurací steak so zemiakovým pyré a šampiňónovou omáčkou,Domáce parené buchty s jahodami a tvarohom,,
2021-08-12,Suvlaki,Mili priatelia fanušikovia z dôvodu dovolenky Bistro Suvlaki bude ZATVORENÉ od,Opäť sa nás tešíme v PON,Ďakujeme za vašu priazeň a podporu,,
2021-08-12,Veglife,Krém z koreňovej zeleniny s kokosovým mliekom,Maslová fazuľa v paradajkovo parmezánovej omáčke petržlenové zemiaky,Teriaki goody foody soté kurkumová basmati ryža s kešu,Tofu v zeleninovo arašidovej omáčke kurkumová basmati ryža s kešu B V P,Šalát Rosso medový s orechami
2021-08-13,Alzbetka,Kacaci vyvar s rezancami,Pecene kuracie stehno s hribovou omackou a zemiakovou kasou,Hlivovy paprikas s maslovymi haluskami     Ceasar salat s grilovanymi krevetami,,
2021-08-13,Bioland,Letná kapustová alergény neobsahuje,Zemiakový prívarok s hubovým nákypom a vareným vajíčkom alergény mlieko vajcia,Červené karí s fazuľou šampiňónmi a ryžou alergény horčičné semienko,Tapiokový puding s mangom a malinami alergény neobsahuje,
2021-08-13,BlueBear,Karfiolová krémová polievka,Vyprážané šampiňóny s varenými zemiakmi tatárska omáčka,G Chilli con carne s dusenou ryžou a chrumkavou cibuľkou,,TYZDENNE Sépiové špagety nerro s morskými plodmi bylinkami a parmezánovými hoblinami
2021-08-13,Centr klub,Mäsový vývar so zeleninou a rezancami,Bravčové rizoto so syrom kyslá uhorka,Kurací steak fazuľové čili ragú s kukuricou zemiakové krokety,,
2021-08-13,Ceska piv,Slepačí vývar s mäsom a rezancami,Karfiolová krémová polievka,Kuracie soté so slaninkou a kukuricou ryža,Francúzske zemiaky s kyslou uhorkou,Caesar šalát
2021-08-13,Galileo,Mrkvový krém,Kurací gyros s dresingom ryža hranolky,,,
2021-08-13,Kasa,DOVOLENKUJEME,,,,
2021-08-13,Milton,Karotkový krém so šafranom a strúhaným parmezánom,Pečené bravčové stehno á la Znojemská pečienka,Ryžový nákyp z pečenými jablkami a sušenými brusnicami ochutený čerstvou vanilkou,Grilovaný Camembert plnený sušenými paradajkami a baby špenátom,Roláda z hovädzej sviečkovice plnená panchettou bazalkovými listami a sušenými paradajkami
2021-08-13,Prazsky pub,Mrkvová polievka s hráškom a krupicovými haluškami,Vyprážaná morská šťuka so zemiakovým šalátom,Gnocchi s restovanou kuracou pečienkou šalviou paradajkami a parmezánom,,
2021-08-13,Red Cafe,Zeleninová s haluškami polievka,Pečené kačacie stehno dusená kapusta domáca knedľa,Cestovinový šalát s tuniakom a kukuricou,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-08-13,RTVS,Slepačia polievka,Pečené buchty s džemom,Vyprážaný syr mastené zemiaky tat omáčka,Kotlíkový guláš chlieb,
2021-08-13,Spilka,Kurací ramen s rezancami        hi,Fish c chips teska s hranolkami a tararkou,Pečené avokádo s holandskou omáčkou cviklou a zemiakmi,,
2021-08-13,Suvlaki,Mili priatelia fanušikovia z dôvodu dovolenky Bistro Suvlaki bude ZATVORENÉ od,Opäť sa nás tešíme v PON,Ďakujeme za vašu priazeň a podporu,,
2021-08-13,Veglife,Minestrone polievka,Gratinovaná hokaido tekvica s údeným syrom a tymiánom,Karfiolový paprikáš s BiO tempehom pažítkové zemiaky,Vegan köttbullar v gravy omáčke pečené zemiaky,Šalát Cícerový s paradajkami a rukolou
2021-08-16,Alzbetka,Hrstkova s udeninou,Pecena bravcova krkovicka s dusenou kapustou a parenou knedlou,Fettuccine s Nivovou omackou s parmezanom a baby spenatom,Ceasar salat s kuracim masom a chlebovymi krutonmi,
2021-08-16,Bioland,Cviklová krémová polievka s chrenom alergény neobsahuje,TROPICA sladkokyslá zelenina s ananásom alergény sója,Vegánske zeleninové rizoto na kokosovom oleji a vegan cheddarom alergény neobsahuje,Raw kokosovo pomarančová torta alergény orechy,
2021-08-16,BlueBear,Brokolicový krém s cesnakovým krutónom,Kurací stroganov s hráškovou ryžou a rukolou,G Cestoviny carbonara so strúhaným syrom,,TYZDENNE Waffla burger so šťavnatým hovädzím mäsom cheddarom slaninou vajíčkom s domácimi hranolkami
2021-08-16,Centr klub,Cesnaková so syrom a opečeným chlebom,Bryndzové pirohy so smotanou a chrumkavou cibuľou,Kuracie prsia s wok zeleninou ryža kapustový šalát,,
2021-08-16,Ceska piv,Slepačí vývar s mäsom a rezancami,Kurací prírodný plátok s baby karotkou a ryžou,Vyprážaný bravčový rezeň so slovenským zemiakovým šalátom,Šalát s grilovaným enciánom hroznom a orechmi,
2021-08-16,Galileo,Paradajková polievka so syrom,Zapekané palacinky s tvarohom,,,
2021-08-16,Milton,Krémová polievka z čierneho koreňa tekvicový olej,Hovädzie zadné z mladého býčka podávané krájané na plátky dusené v paradajkovo zeleninovej remuláde,Grilovaná morská ryba,Mini rezníky vyprážané medajlónky z br panenky,Suflé z bielej čokolády a čučoriedkový couilis
2021-08-16,Prazsky pub,Zemiakový krém so šampiňónmi,Kuracie rizoto so zeleninou strúhaným syrom a kyslou uhorkou,Penne s mäsovým ragú na smotane s rukolou,,
2021-08-16,RTVS,Hovädzí vývar s cestovinou,Palacinky s tvarohom,Vyprážaný bravčový rezeň dusená ryža,Hydinový perkelt halušky,
2021-08-16,Spilka,S iná A a Poč Tá,Druhy Pre,Paradajková polievka so syrom     z,Kurací stroganov s ryžou,Vyprážaný syr s opekanými zemiakmi a domácou tatarkou
2021-08-16,Veglife,Miso zeleninový vývar s tofu,Alfredo tagliatelle s goody foody a háškom,Karfiolový rezeň so syrom šťuchané zemiaky s olivovým olejom,Natural rizoto s lesnými hubami a hráškom,Šalát Brokolicovo paradajkový s olivami
2021-08-17,Alzbetka,Brokolicova so syrom,Bravcovy rezen plneny slaninou a bryndzou so zemiakovou kasou s cibulou,Kuraci steak s avokadovou salsou a pecenymi batatmi,Ceasar salat s kuracim masom a chlebovymi krutonmi,
2021-08-17,Bioland,Zeleninová polievka s jabĺčkom a kurkumou alergény neobsahuje,Cviklovo špaldové halušky s kešu omáčkou a redchard šalátom alergény lepok orechy kešu,Brokolicová fašírka s batátovými humusom a šalátom alergény sézam,Jablkové pité s tvarohom alergény lepok mlieko vajcia,
2021-08-17,BlueBear,Šošovicová polievka so zeleninou,Pečená bravčová krkovica so sedliackymi zemiakmi a kyslou uhorkou,Špaldové halušky s hermelínovou omáčkou a chrumkavou cibuľkou,,TYZDENNE Waffla burger so šťavnatým hovädzím mäsom cheddarom slaninou vajíčkom s domácimi hranolkami
2021-08-17,Centr klub,Minestróne s čestvou bazalkou,Cézar šalát s kuracím mäsom,Bravčová živánska s krkovičky,,
2021-08-17,Ceska piv,Slepačí vývar s mäsom a rezancami,Zeleninová polievka,Kuracie prsia s omáčkou z lesných hríbikov ryža,Bryndzové pirohy so slaninkou,XXL Vyprážaný bravčový rezeň slovenský zemiakový šalát
2021-08-17,Galileo,Pórová polievka,Špargľové rizoto s parmezánom,,,
2021-08-17,Milton,Tom Yum kuracia polievka s kokosovým mliekom a ryžovými rezancami,Grilované kuracie prsia zapekané s cuketou a kozím syrom,Omáčka kuracia šťava s pažítkou,Pasta roláda so špenátom sušenými paradajkami a syrom gouda,Konfitovaná teľacia falošná sviečková na bylinkách
2021-08-17,Prazsky pub,Hovädzí vývar,Bravčový rezeň s ryžou a kapustovým šalátom,,,
2021-08-17,Red Cafe,Kulajda polievka,Bravčové znojemské kocky tarhoňa,Caesar šalát s kuracím mäsom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-08-17,RTVS,Šošovicová kyslá,Kapustové fliačky,Hovädzie CHILLI CON CARNE dusená ryža,Bravčové karé znojemské tarhoňa,
2021-08-17,Spilka,Ostroskyslá polievka,Rezeň Černohor s domácim zemiakovým šalátom,Restovaná ryža s wakame riasami a údeným tofu,,
2021-08-17,Veglife,Tekvicový krém s kurkumou,Kukuričná polenta s batatmi a tempehom dusený špenát na cesnaku,Grilované robi s gravy omáčkou pečené zemiaky,Cviklovo zemiakový gratin,Šalát Kapustovo rukolový šalát s tekvicovými semiačkami
2021-08-18,Alzbetka,Kapustova s klobasou,Kuraci Gyros so zemiakovymi hranolkami a s tzatziky omackou,Sote ala Spanielsky vtacik s ryzou a kyslou uhorkou,Ceasar salat s kuracim masom a chlebovymi krutonmi,
2021-08-18,Bioland,Minestrone s quinoou alergény neobsahuje,Grilovaný zeler s cuketovými tortičkami s karí pastou a polentovou kašou alergény sója zeler,Kotlík s feniklom brokolicou žltou šošovicou a pečenými batátmi alergény neobsahuje,Raw hrušková torta alergény orechy,
2021-08-18,BlueBear,Tekvicová polievka so semiačkami,Dukátové buchtičky s vanilkovým krémom,Morčací Gordon Blue plnený slaninou a syrom s pečenými zemiakmi a tatárskou omáčkou,,TYZDENNE Waffla burger so šťavnatým hovädzím mäsom cheddarom slaninou vajíčkom s domácimi hranolkami
2021-08-18,Centr klub,Kulajda,Restovaná kuracia pečeň v lokši kyslá uhorka,Hovädzí stroganov dusená ryža,,
2021-08-18,Ceska piv,Slepačí vývar s mäsom a rezancami,Rascová s vajíčkom,Rizoto s kuracím mäsom anglickou zeleninou a parmezánom,Vyprážaný syr varené zemiaky tatárska omáčka,Šalát s kuracími nugetkami medovo horčicový dresing
2021-08-18,Galileo,Patizónová kari polievka,Francúzske zemiaky s kyslou uhorkou,,,
2021-08-18,Milton,Teľacie ragú s cuketou karotkou a šafranom,Grilovaný konfitovaný steak z bravčovej krkovičky,Zeleninové taštičky Samosa plnka jemne pikantná zeleninová,Sous vide srnčie medajlónky a omáčka Grand Veneur,Čokoládový fondán s malinovou plnkou a karamelizovaný mliečny krém
2021-08-18,Prazsky pub,Kurací vývar s rezancami a zeleninou,Plnený bravčový rezeň na prírodno so šunkou syrom a špenátom s hranolkami,Šalát s tuniakom krutónmi vajíčkom a bazalkovým dressingom,,
2021-08-18,Red Cafe,Hŕstková polievka,Pečené kuracie stehno dusená ryža kompót,Vyprážaný karfiol varené zemiaky tatárska omáčka,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
