datum,podnik,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2021-07-12,Ceska piv,Slepaci vyvar s masom a rezancami,Zeleninova jarna polievka,Bravcove sote so slaninkou a kukuricou pecene zemiaky,Kuracie prirodne prsia s nivovou omackou ryza a miesany salat,Salat s kuracimi nugetkami medovo horcicovy dresing
2021-07-12,Galileo,Paradajkova so syrom,Bravcovy steak na horcicovej omacke s dusenou ryzou,,,
2021-07-12,Kasa,Minestrone polievka,Ratatouille,Pomaly pecena krkovicka s udenou paprikou a sechuan korenim,,
2021-07-12,Milton,Kremova polievka z cierneho korena s ovocnym octom,Sous Vide kuracia rolada,Vykostene stehna prsia a kuracie fauche v uprave Sous Vide,Ravioli plnene mozzarellou a baby spenatom,Flank steak hovadzia slabina pripravovany technologiou Sous Vide
2021-07-12,Prazsky pub,Zemiakovy krem so sampinonmi,Kuracie rizoto so zeleninou struhanym syrom a kyslou uhorkou,Penne s masovym ragu na smotane s rukolou,,
2021-07-12,Red Cafe,Paradajkova so syrom polievka,Kuraci Cordon Bleu pecene zemiaky mix salat,Cestovinovy salat s tuniakom a kukuricou,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-12,Suvlaki,Sosovicova polievka,Dusene bravcove maso s mladou cibulkou a olivami,Grilovany KURACI STEAK s cuketou a cherry paradajkami,,
2021-07-12,Svadby a Kari,Polievka zo susenych paradajok s cerstvou bazalkou VEGAN,Mangovo baklazanove VEGAN kari s kesu batatmi   japonsky kapustovy salat s klickami,Indicke kuracie kari tisicich cesnakov s tekvicou a oranzovou paprikou japonsky kapustovy salat s klickami,,
2021-07-12,Veglife,Paradajkovo feniklova polievka,Grilovane robi platky so sampinonovou omackou pecene zemiaky,Penne all arrabiatta s pecenym baklazanom,Natural rizoto s vlasskymi orechami porom a opekanou hlivou,Salat Frisse s cherry paradajkami a tofu
2021-07-13,Alzbetka,Sosovicova s klobasou,Kuraci Cordon Bleu s americkymi zemiakmi a tatarskou omackou,Bravcova sekana s tekvicovym privarkom chlieb,Ks Mix listovy salat s tuniakom a vajickom hrianky,
2021-07-13,Bioland,Letna kapustova alergeny neobsahuje,Veganske hraskove kremove rizoto s pecenou mrkvou a valerianom alergeny neobsahuje,Vegansky tempehovy stroganov s pecenymi zemiakmi alergeny soja horcicne semienko,Raw bananova torta alergeny orechy,
2021-07-13,BlueBear,Hrachova polievka s cesnakovym krutonom,Vyprazany bravcovy rezen z krkovicky zemiakovo cibulovy salat,Spenatove halusky s omackou z modreho syra a chrumkavou cibulkou,,TYZDENNE Vyprazane olomoucke syrecky s pecenymi baby zemiakmi a tatarskou omackou
2021-07-13,Centr klub,Minestrone s bielou fazulou,Vyprazany syr hranolky tatarska omacka,Pecena krkovicka zemiakova kasa calamada,,
2021-07-13,Ceska piv,Slepaci vyvar s masom a rezancami,Hraskova kremova polievka,Kuracie prsia na grile s fazulovymi luskami a ryzou,Bravcova kapsa plnena salamou a encianom varene zemiaky,Jarny salat s mozzarellou a pestom z medvedieho cesnaku
2021-07-13,Galileo,Sosovicova polievka,Vyprazane kuracie nugetky v cornfackoch ryza hranolky,,,
2021-07-13,Kasa,Sosovicova polievka na kyslo,Lasagne s modrym syrom,Kuraci spiz,,
2021-07-13,Milton,Telacie ragu s cuketou karotkou a safranom,Pecene kuracie stehno s k na sposob Barbecue,Grilovane krevety salat Waldorf Astoria,Kralici chrbat sous vide s tekvicovym olejom,Kremova omacka s judasovym uchom
2021-07-13,Prazsky pub,Hovadzi vyvar,Bravcovy rezen s ryzou a kapustovym salatom,,,
2021-07-13,Red Cafe,Zeleninova s haluskami polievka,Pecena krkovicka na kapustovych strapackach,Zapekana cuketa so zeleninou a mozzarellou var zemiaky,Vyprazany syr hranolky tatarska omacka,Pizza sunkova salamova sampinonova
2021-07-13,Suvlaki,Paradajkova polievka,Peceny LOSOS s feniklom tymianom a citronovou omackou,Pecene KURACIE STEHNO s rozmarinom susenymi paradajkami horcicova omacka,,
2021-07-13,Svadby a Kari,Sosovicova polievka s kurkumou a opekanymi kesu VEGAN,Indicke VEGAN Aloo Gobi s karfiolom zemiakmi a hraskom  salat z ciernej sosovice beluga s mrkvou,Marocke marhulove hovadzie kari s mrkvou a pecenym baklazanom     salat z ciernej sosovice beluga s mrkvou,,
2021-07-13,Veglife,Mexicka kremova polievka,Pecene spenatovo mozzarellove fasirky zemiakove pyre s maslom,Chilli con tofu ryza jasminova B V P,Baklazanova mousaka,Salat Polnicek s grapefruitom a granatovym jablkom
2021-07-14,Alzbetka,Karfiolova so syrom,Telacie buritos s pecenymi zemiakmi a pikantnym dresingom,Spenatove natur rizoto s kuracim masom a struhanym syrom,Ks Mix listovy salat s tuniakom a vajickom hrianky,
2021-07-14,Bioland,Arasidova jemna so zeleninou alergeny arasidy zeler,Cevapcici z robi masa varene zemiaky a salat alergeny lepok soja horcicne semienko,Pohankovy nakyp s maslovou tekvicou a veganskym syrom ladovy salat alergeny neobsahuje,Tiramisu s ovocim alergeny lepok mlieko vajcia,
